Sample_name,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49,PC 50,PC 51,PC 52,PC 53,PC 54,PC 55,PC 56,PC 57,PC 58,PC 59,PC 60,PC 61
X129P3_J_,-46.25207969561671,-4.8910683167421265,1.5333446661366332,-5.235276865561561,0.21922870371554223,-0.5322323482993074,-0.597912374848614,1.2566646927222516,0.3049651064044456,-2.6919595706264356,1.026609781482323,-1.948635056217364,2.5489547186354526,2.5591751203730957,0.40260943835495616,-1.3554879767072263,1.5598129582968434,0.6085557663114739,0.5583068711526393,-1.3603723733007198,0.8715259366614047,-0.796836495957143,-0.33421914220819404,-1.6154751865442145,-0.7225867971375443,-1.39729693761085,-0.873683922256093,-0.5553936269455033,-1.6062949955448471,0.8603161674061585,-0.3352590031207013,-0.08569133929376548,0.15744369644400147,0.4744803546146292,0.46869974590968233,0.2760696427046562,0.04044118881602181,0.6626920021333481,0.41728706071522953,0.340576181121713,-0.8206319445986986,0.7534475405177843,0.08572218420604663,-0.26377746165954,-1.5465047172602633,1.746157345179637,0.05394459340146514,-0.11399908765669843,-0.5259580859878498,0.5253978237871405,0.0571808226445932,0.23959477122431092,-0.7187513378508633,-0.036530182589925166,-0.07404397375433974,1.0215268604562802,-0.04250018696029449,0.12226925658405517,-0.24068293533686574,-0.2504280476942182,0.17820468843397425
TALLYHO_JNGJ_,-49.11216453056621,-5.263862863436797,-0.010986499305145402,-4.084490655925221,1.1980731970324288,-1.132356943200974,-0.8856333127227456,2.009118239110654,-0.6177553208454885,-2.264945488887194,0.8319269838182549,-1.1900938916194812,1.952380706868542,1.6691700300964758,0.42003945877739696,-1.3326943072432653,1.4669315432442198,0.36720677416876263,0.8302500917411079,-0.8832866289725964,0.4468061073578291,-0.8461492210291806,-0.48059746188475716,-1.3885708630855584,-0.5340594451533955,-1.2223061064419183,-0.3653372417896057,-0.23965272403119273,-1.4703265469694589,0.8568686619292507,-0.4460901678970847,0.026999233424439755,-0.10500177835618042,0.7651372991729644,0.4946447027768878,0.39163522232770537,-0.18403955424771426,0.559415974424682,0.3268945946610451,0.25942694053804355,-0.7932061111970253,0.7570568875636533,-0.21138931359948918,-0.06264563086943777,-1.2959738761500277,1.652509347656408,0.009755701341219504,-0.2429215066887911,-0.597040384998264,0.5006679100958051,0.20376858690252947,0.3223459836464625,-0.6253569388019561,-0.07871871304014189,-0.047840505943594396,1.0533380268912502,-0.14047468263151094,0.19327014951081053,-0.14303019151366472,-0.2898835932306415,0.1782046884339739
SWR_J_,-47.83303246825029,-5.064391772375365,0.6739431801754212,-4.175472667733973,1.0770763849746605,-0.4536567008064355,-1.4092013232332092,1.756965278154908,-1.3446756766864698,-1.3672401671736552,0.6386243154312934,-1.895993453200853,2.9052876992251506,1.774860697383048,0.585782254878048,-1.0354162426029807,1.4187342655365505,0.5089165991563395,0.614238945707925,-0.8957278595888,0.4209980237138818,-0.5985370061352361,-0.690770763398291,-1.5470609031334945,-0.7299677890244404,-1.0587154929739693,-0.722111460912339,-0.7028034971676875,-2.1455399769588976,0.843251632980918,-0.32340368027261396,0.3899162055570164,0.13047894498400356,0.5935721558151491,0.34362864139674937,0.6103786940952574,-0.14806957297218315,0.38659062973338354,0.6413060901870872,0.26915016534785197,-0.8064894163445269,0.9032739812902371,0.018275483786858077,-0.34009420261247086,-1.5593913933136865,1.584823628626306,-0.07779603625486484,-0.1112542077979535,-0.4824120960958189,0.5030677421686751,0.05974720734135423,0.3368508593126033,-0.679416769079394,-0.04048338718199529,-0.08814844141768453,1.0334014051203768,-0.09593109853154441,0.19619829189193627,-0.25837599869118316,-0.22532925939298395,0.1782046884339768
SPRET_EiJ_,-47.81943718533908,-3.5220354280941737,-1.7808011105750916,-5.817033752738655,1.1140648005957705,-0.06926510452790416,-1.5935323470887146,1.5217630239030688,-0.2717694478178285,-1.3489917308642032,1.1339846704659953,-2.538740847778349,1.7101104862784333,0.9575039866880379,0.49073386290541604,-1.0983388124863194,1.1792121824845523,0.6184750496601851,0.7466727111890508,-1.183055410784095,0.6486306126488492,-0.8329057006331271,-0.5808941146219966,-1.6457891476495474,-0.5347455581459045,-1.634783788144855,-0.561860765213023,-0.6658541486386874,-1.5874487074914918,1.0112530322870386,-0.3518257149474469,0.08770229199152133,0.058230799570602315,0.5258442039428252,0.36444544534144885,0.3623863934205043,0.08684158116138863,0.729559864436789,0.5562251461343786,0.2461006854887121,-0.8513855975667246,0.7661965056377731,0.11085248488444961,-0.22128774272329224,-1.4999571858573149,1.6051259783016976,-0.0576740817434099,-0.08248220528895656,-0.6024508003997192,0.5230783329675702,0.12493268298524633,0.228936393378195,-0.6131705594947808,-0.0460482077921592,-0.08876510436495548,1.0356765844175748,-0.06686800693905262,0.1820535847005286,-0.18801103020650067,-0.23933852752272833,0.17820468843397227
SM_J_,-47.24355379052653,-5.033008474002873,1.1587007069139437,-4.640145940770296,1.3532692594903977,-0.07523006682309777,-1.9392591610035868,2.9618270394473143,0.2947740455499537,-1.2409638326321848,0.6836557563111583,-2.219467276220321,2.0747699716017665,1.9618407608578519,0.9598104118029761,-1.6120770390279096,1.3300377604338849,0.49557477947246475,0.509743322207249,-1.424341704244881,0.7308284100073836,-0.5485303591420734,-0.3373658678182384,-1.9565666127393009,-0.6979039782503415,-1.2460028535566632,-0.1530699622231075,-0.5394112331813811,-1.723521007127679,0.7384233446718343,-0.7353972055774324,0.08133911803579344,0.2334358619352075,0.5321796314082873,0.5561703594120185,0.433145913809571,-0.22744346145542807,0.6247168705673902,0.6896582987593323,0.2606705869054015,-0.8431267340384573,0.7601712820439532,-0.1670872668365541,-0.11846371739060248,-1.5524327418067367,1.6237021329349437,0.0023336722151512425,-0.15466044055681138,-0.7081643771522479,0.5138580896415654,-0.041828953082350566,0.23936122840375515,-0.6805926592795377,-0.1012855253881887,-0.020726580711657634,0.9812966716036896,-0.049826406268324755,0.17281886504371682,-0.18488162320755783,-0.2716568060319524,0.17820468843397627
SKIVE_EiJ_,-47.23848662470145,-4.371781890303554,-0.48372329592701196,-5.238565346137069,1.3949542641366575,-0.5317932735689396,-1.5700669290339615,1.4655150390282086,-1.3138246975358012,-2.546085926351026,2.0086918988557776,-2.1039606011504044,1.3435609561888648,1.9373979098457907,0.7825675928904231,-0.9431984470934798,1.5469581103107173,0.3510648856487042,0.3249307701196151,-0.9495351231920238,0.897189781137572,-1.0840001775505237,-0.7413389492154208,-1.8041272886909492,-0.6832738125903448,-1.0358892773130233,-0.5712822178369161,-0.469941113821131,-1.70489942327844,0.7863291560320792,-0.8430247778514183,0.05396964729672007,0.25605708811146666,0.5396310171480146,0.695104880444014,0.46466404691443625,-0.23950824907138152,0.49659483915413566,0.5658603338238208,0.4552287056647048,-0.6865556821960268,0.7795354104757761,-0.09624747881169028,-0.17213120338528326,-1.550080119237316,1.6700097484632164,0.016138662388627975,-0.1567419930679411,-0.48608413712366105,0.595232817380031,-0.03756097204219458,0.2619558205261457,-0.7166483492946791,-0.054788490930658906,-0.05779727432766336,1.0478862950171173,-0.11912612542994318,0.12653803423177096,-0.2728798231820368,-0.23163434781104553,0.17820468843397824
SJL_J_,-48.417866450689864,-4.510960339248157,1.1134124117433088,-4.760948852533738,1.0408506249677572,-0.9951011446547824,-2.239486530976947,1.745292381259066,-1.1548065324153998,-1.6467714437270988,0.6700901725990401,-1.6278808804270501,1.9359939733454437,1.7203695117694187,0.2169255583957491,-1.233983566875398,1.186851945654502,0.6856859230814928,0.5336129640823924,-1.2023089015784818,0.8310925495024566,-0.6613275759539252,-0.44800881960017697,-1.9700577014656941,-0.3306623891284272,-1.1615271770067792,-0.568377249385928,-0.43037518632532823,-1.5406644294595317,0.6521475547966884,-0.645113036384879,0.10512194003998257,-0.006472510732836718,0.3860403321423719,0.6821962158391262,0.4842652797437998,0.17601468088237704,0.36191881381052343,0.3676984982439756,0.30288198332182986,-0.5674258132297201,0.6290533428648543,0.21397821538420975,-0.1456595868216556,-1.530917570135953,1.6558100565288085,-0.10191003474449203,-0.11437618408761485,-0.5143300409469177,0.3990928662281862,0.04334796391951599,0.2814034964705336,-0.609406171729065,0.09693746478583389,0.053839669278283986,0.9869337774499082,-0.01055013265055813,0.16278930630693766,-0.1373674127407355,-0.23734612553774792,0.17820468843396936
SF_CamEiJ_,-45.18631861618279,-7.793044829696686,0.48129093295852576,-5.729303207482071,1.880660393069535,-1.6439827527935393,-2.412803972723717,0.8568407593052916,-1.1076335226735519,-1.6489774597748008,1.1714941366924208,-1.538982804310621,1.9777133752483371,1.5745640486843206,0.9661071747074174,-1.7293145919799269,1.259063067570181,0.3739798272184185,0.16613009271883195,-1.4464640584936548,0.5797287090713036,-0.7167368005022312,-0.4017804572424403,-1.3297496204339132,-0.5927469257774407,-1.2019958602188572,-0.4335810987677966,-0.4224756128984292,-1.6846492065496292,0.7625587827997167,-0.491056598620202,0.08911199544677245,0.2774785190422345,0.5117504901274385,0.19954334877537544,0.2294810084984911,-0.08629624220393063,0.6102543634532435,0.5926486962963206,0.25931425529499996,-0.7853850320634845,0.7083379719253992,0.0912273138352402,-0.2944432640499181,-1.4785934359197561,1.7815430295989818,-0.0008280179998834594,-0.14451202042467823,-0.5817842512089839,0.5229336349875578,0.07706403666519425,0.2358305582015108,-0.6773929881947837,-0.060507043197355254,-0.06385098576861253,0.9816647099157728,-0.08317163961659589,0.1581566401780428,-0.20491434283432977,-0.28966710180771993,0.1782046884339707
PWK_PhJ_,-45.39590745531971,-4.142339759488184,-0.2756080081413887,-4.870613655256207,1.21024169120203,0.21256593644547142,-1.7058880921201756,2.2204867952127554,-0.9281862348086,-1.498290756986656,1.6381933466110934,-1.7984394178911165,1.8444952416915725,2.361241870753663,1.0850267068808517,-1.3222881094545091,1.466749583202293,0.3524846655641303,0.5059161940419045,-1.2026844411633935,0.8734745544105179,-0.6572820466464249,-0.5866449172088097,-1.3891089802545233,-0.28179195508551635,-0.9983101509535919,-0.7693947527853879,-0.3242203312203296,-1.7604176813423498,0.708761872375621,-0.5462619696601704,0.06978755267298443,-0.17423699345007948,0.4747369114825066,0.09127361752007355,0.2882267679317376,0.2272092128161539,0.47049440647220453,0.45484985692088137,0.308413368630615,-0.8038653077737745,0.8713199720246054,-0.08977562760875808,-0.22969423077576878,-1.3785023080257124,1.6711392835394914,-0.055972094187082384,-0.3252030204186915,-0.6670994436207378,0.4410866483508904,0.007100638957032416,0.3082300180747599,-0.7004242894397775,-0.06322981102367979,-0.07258250975718285,1.0133675688893071,0.0824773720991202,0.14060790138421017,-0.216368327591129,-0.25007695912322864,0.17820468843397208
PWD_PhJ_,-46.09198382050954,-3.6201803600935856,-0.26417873286250837,-5.1795705426001915,0.7605934941861823,0.0906662778922706,-2.4870559353788413,2.1539276001707384,-1.3596928384233395,-1.883395066700462,0.7407324660529379,-1.4155223398307855,2.1713232866573753,2.3012453947585643,0.609985247214836,-1.7268511735123895,1.063953010487556,0.1476025198232083,0.8424611383251099,-1.5344214088230386,0.9736894620578398,-0.6883596277396669,-0.5723312883832719,-1.227474635299563,-0.6605822251012948,-1.2305760296338846,-0.4525278788247944,-0.4040679421383072,-1.282910783037499,0.9646157476274407,-0.44267003564963386,0.1890473096863821,-0.09026515230466084,0.27419783775215134,0.48004121106080494,0.7194145430918767,-0.2453562219965305,0.6062293950754033,0.4347532655977473,0.34505685864744706,-0.8293772416151408,0.7744733162330929,0.07323473238956434,-0.32833743678181515,-1.5194094404325778,1.6504146621870521,0.09960936326679376,-0.08393549563488296,-0.47525780657277195,0.6053828039729603,0.04097139421293726,0.22037365855118182,-0.6574782895128364,-0.07688414382534699,-0.07508793801504714,0.9642510039371676,-0.10406112103514642,0.17122193102542801,-0.23656673586525245,-0.29105413188472395,0.17820468843397427
PL_J_,-47.950170100940014,-6.056047222231598,0.9396448025909817,-5.44948008593352,1.3444072459217677,-0.5393614795161057,-2.0852648082136307,2.2476736205800223,-0.43148753179150523,-1.8212241540579692,2.045571358841778,-2.0967440647694118,2.1553844923942593,1.6870381111328745,0.41481060132632674,-0.8409022889351293,1.0457657353622813,-0.04578994120267537,0.6993813776095325,-0.7861033484497495,1.086733383696621,-0.4997815300333368,-0.25513302926295917,-1.691733723802291,-0.3873512071098325,-1.2132602842241638,-0.7267930152795116,-0.44352257011841445,-1.5229345167813504,0.720186437033712,-0.2563712194402687,0.5631725860560044,0.1905324245955581,0.45026687079437033,0.5359508839859984,0.41512000302986174,-0.20497926283421766,0.5053901329382449,0.24986737744262028,0.2601468399692331,-0.9339529607985979,0.7291694665522429,-0.006492587163600966,-0.24708761009157829,-1.532475929130664,1.6946779487114931,0.03354623996679228,-0.20113615194148018,-0.6458207687862083,0.3860915085619389,0.02495210943475132,0.2295540582260532,-0.581906067534246,-0.07150497219278784,-0.16549581380139572,1.0123740414057643,-0.0928175672847549,0.12175057321549691,-0.20939162556015406,-0.28693143902373525,0.17820468843396828
PERC_EiJ_,-43.33089039415258,-5.139627618493926,0.5968236621936127,-5.571299648331385,1.0213579854126906,-0.6609568631395751,-2.6480013498656754,1.987246828340411,-0.30774403400573497,-2.3054276662852566,0.10252589453662478,-1.618439433527822,1.344674869945942,1.7771724038265724,0.3833927087831194,-0.575984619616643,1.968318046346449,-0.016229503954673652,0.838726816609942,-1.6669956259347578,0.591279287151381,-0.9096922953661591,-0.5874213563301923,-1.532055249187905,-0.44348566090176883,-1.3615650344734,-0.6442221212080175,-0.30351488142211014,-1.8760516292856682,0.6119634270437299,-0.36589151375191015,0.23814064934331458,0.238085526364578,0.6525285947950894,0.33853779767295084,0.6195869859709054,0.03542182983588064,0.5315117352586795,0.49212447813505,0.39233039573530554,-0.7933086466626794,0.9026809074881641,-0.06563781468188067,-0.13673756633353806,-1.5364210054267629,1.6017502984076355,0.11548506633641424,-0.12812864880493585,-0.5773468620941833,0.46742843447380966,0.04382961333078551,0.27065682485693515,-0.6311496237246988,-0.024686397973896913,-0.10538508210342766,1.0051185757656869,-0.04802567065921277,0.12282471011196597,-0.2106503848889727,-0.2555805472627201,0.17820468843396964
NZW_LACJ_,-51.4812732375454,-4.828548228159187,-0.17936730808047033,-5.491528110631134,0.578455063090302,-0.9243790469090041,-0.7720841352267697,1.5315263618430912,-0.38583197969837313,-1.6697626065992397,0.882926694808126,-1.4364620030272728,2.0365724418713613,1.6531193892553409,0.5459499512593977,-1.383098934644581,1.6541497635873625,0.16883226477445512,0.36660263783126645,-1.3025084604235004,0.5610657039196616,-0.9767333832260454,-0.6042615587351606,-1.4967736543300647,-0.5880080367703348,-1.4247296375140373,-0.6974862043379731,-0.2933876120246545,-1.6054813929145062,0.7243563863046967,-0.5707178314195273,0.5606497822294512,-0.16413801902250572,0.3605144867862003,0.417376393669829,0.40962159974348755,-0.2890143846470457,0.4681482286637781,0.6656615787595848,0.2818132930489676,-0.615688025132292,0.7021660541973251,0.032777706467605444,-0.11104857901978929,-1.658206521601235,1.5780493656826275,-0.07453531465699915,-0.23505391035203135,-0.6139609695243466,0.46676269908656914,-0.054746289700715024,0.20638165820076204,-0.6119610969626347,-0.12492685547123251,-0.09900236528918267,0.8649407599216803,0.01987296800775942,0.06972468608197148,-0.22099679303544603,-0.2883329277644464,0.1782046884339743
NZO_HiLtJ_,-52.68327229938395,-4.978650818350468,0.15817178836624599,-4.7211027548431135,1.1433337926723623,-0.42845770585005183,-2.0392941664237503,1.3737183938730013,-0.8124455598154746,-1.2998059173078902,1.449156090754487,-1.6354549927254276,2.289150905745361,1.9980631099193995,0.42151925833326787,-1.4816439922957674,1.470457325703055,0.6805803372538705,0.6385204374500443,-1.463155248744821,1.2091367771027548,-1.1804115010455565,-0.746748954964274,-1.437292978059323,-0.397213413539013,-1.3158567657730376,-0.8252236842276757,-0.18424650493244749,-1.906324535633774,0.5437578855458659,-0.44948822093367524,0.04518798034130329,0.17924735377083392,0.46574556683106855,0.3890195501692665,0.48797406332923304,-0.3080709404599845,0.8007018443604819,0.4987350043695911,0.414122171924608,-0.921922359659005,0.7653514465995699,-0.0609101515330822,-0.009422267885424246,-1.5688556838188987,1.6438744919195571,0.025868802658151908,-0.0008013289410145604,-0.587933333076342,0.28374938523150256,0.03732681386618361,0.2943364634049444,-0.6080777315480652,-0.06226868763626058,-0.05678556053250154,1.0504009355365331,-0.046066110675699753,0.23284433175210706,-0.17614399743984316,-0.24705573517611862,0.1782046884339757
NZB_BlNJ_,-52.786547059385654,-4.458792833258628,1.014926512581377,-5.730762685551849,0.4730825140877625,0.3794345469112324,-2.24710849427953,1.742748005235852,-0.5702545589343478,-1.675155849149824,0.7835101714685941,-1.2007811873059004,1.9934808202358063,1.5240409204173473,0.7943486453295097,-1.101492824872838,1.191462863990624,0.5122889847304364,0.49447867461078904,-0.9977789997582652,0.581936109978922,-0.6009079391055933,-0.3987266333315618,-1.8729612141052172,0.054375902878714494,-1.2167571324256097,-0.731743740210731,-0.3441444701931984,-1.7672860095748608,0.5991777974287813,-0.48508644120532257,-0.1788036204964614,-0.022990518671062794,0.5616310341143975,0.2941413032670293,0.39211501317044084,-0.2616194186602191,0.6069194799476944,0.6059794780381326,0.30343273328886106,-0.8205810207105821,0.6830497937817831,-0.018331864209371346,-0.19148233483246271,-1.6114268699734593,1.7260695221892972,0.06526508295773559,-0.28580371451275344,-0.45963922722261014,0.5900600263125179,0.15226731169156393,0.23157135481035157,-0.6341084789465989,-0.03643890443531777,-0.09935314225168228,1.0034250338289779,-0.12326861094081924,0.11711035577097034,-0.32110885311335413,-0.28067653150437283,0.17820468843397005
NZBWF1_J_,-55.492542127359044,-4.958581448737218,-0.16000161224792275,-5.202458629517031,0.6692445141613753,-0.3283447554429793,-1.9203025086745753,1.7064363786982566,-0.29276454588479706,-1.6692064674944365,0.6034691440164671,-1.448977959758879,1.6195777155844522,1.9949072578954736,0.5270501451371825,-1.0531504662984372,1.6289282319117626,0.44634580222187586,0.7532485785909306,-1.0969041694314294,0.6645022192533597,-0.6880713686046455,-0.3691028168792698,-1.2980176929516145,-0.4220178252008481,-1.026867503782675,-0.613813509762334,-0.5699762456549067,-1.6201638843362873,1.011780229819905,-0.5915285845053514,0.31338348637906355,0.37222220035409054,0.45276240511804544,0.3497126111155209,0.48595860935325774,-0.17409090194666751,0.6522478687612003,0.5008596508527733,0.2808283417835505,-0.7216705320854038,0.6890161119028049,0.06428083810629757,-0.4103456747937024,-1.4860864855993714,1.8360359152458,0.03198912420736214,-0.20541638819353172,-0.6237211579100698,0.49162474986526533,-0.11404349799416867,0.3582953327583294,-0.6155311243851732,-0.10136693640924925,0.06903839674587957,1.1847835213831694,-0.014928546107209612,0.11584977396699013,-0.1687947275577278,-0.2499936394593944,0.17820468843397652
NU_J_,-50.08998876716188,-5.841467748675448,0.9395274386878465,-5.2186585821748945,1.6186223267275939,-0.35530409429125176,-1.6494801042279237,1.7185799101227741,-0.5096089505274087,-1.6667830461232152,1.0897367718961606,-1.8365492087243984,1.6980162157025955,1.7933947022253998,0.4822848125949918,-1.2093826537529966,0.9366787219240299,0.5887447243067011,0.4532602176131514,-1.6488504015446646,0.7393046714738779,-0.8047736680135145,-0.8398474389161843,-1.7066876613800899,-0.5172064557495848,-1.4089300813518026,-0.9906980211981288,-0.6249179148041417,-1.7267357682077569,0.6191209215079689,-0.5145575792082856,0.3864977091181388,-0.24440603358250448,0.6642480133873704,0.6326000963834182,0.5367416895125443,-0.04162613350387386,0.6447161801928993,0.5239912683302301,0.303380655409861,-0.7372999228390188,0.9703517010983256,0.1457357187861592,-0.20732263086838484,-1.4172917625700412,1.7555988440631283,0.1800078667757939,-0.3407298059772067,-0.5893092480459714,0.5610270783969222,-0.017653660749110206,0.2941596879422387,-0.7346215045349148,-0.14886111999345206,0.010927896126437348,1.0632680402632502,-0.11331487071713241,0.22623963689783033,-0.19271557609580295,-0.3471418593546429,0.17820468843397885
NOR_LtJ_,-51.43159945928606,-5.555328138539765,0.4960323545510288,-5.7276977242126925,1.639350751201953,-0.386295582804079,-1.8228963043237973,1.9716860837393853,-0.030983950017172548,-2.262366276410724,1.6109836698334659,-1.4749502815249858,1.5009672833557897,2.3619447746346385,0.4962423192222797,-1.3856068623278508,1.1214981485025068,1.0372081606047008,0.43881332294829184,-1.372922698650958,0.4543728966160231,-0.6933034087262356,-0.4503555651452299,-1.2804657815998708,-0.42946439165221034,-1.323919754294802,-0.2902176934013099,-0.5724198440637466,-1.6677229513453136,0.9781348642684424,-0.48988894724028154,0.3106242829772129,0.024407545731485313,0.4739952419435861,0.39171128795766313,0.5554592814427392,-0.15378207069323113,0.2932540096680478,0.5421691703377393,0.4252996843094004,-0.8533019723610725,0.9054587124935346,0.12849683435459036,-0.05577343539409037,-1.6681236444938743,1.5585935013028407,-0.00919370623489059,-0.16715908544013358,-0.6149127514898451,0.4382408572843939,0.1526913674158071,0.3423267722894359,-0.6183506017038498,0.05118229189931428,-0.12588230461393657,1.0921270976400228,-0.02909188956084458,0.18791640572383397,-0.28923495112142145,-0.26052213641009103,0.17820468843396906
NOD_SHILTJ_,-49.00020713051048,-6.530479067001127,0.5737782358445629,-5.877593706268881,1.6124331428169438,0.7161343113685028,-1.5031299082219853,1.9033173054226629,-0.21080593493345942,-2.2144748916493326,1.3547002787661808,-1.2197272380887574,1.7446989723667243,1.9974022871639252,0.8416555785036677,-1.2740285503432438,1.3554243875757117,0.6404584343423219,0.6478074404340456,-0.923309324085731,0.8694403736120242,-0.7902897888922564,-0.5820955228336218,-1.736960591020808,-0.68518211180544,-1.5147871442944965,-0.4833735182453775,-0.2931389988985815,-1.967536301164377,0.8122283539153076,-0.6485977607854801,0.2263336235708427,0.034001730869860955,0.617792438583929,0.281380647818758,0.701973860919722,-0.0843772788515184,0.5807582563263943,0.45017210660772905,0.1513262280960078,-0.7189329964876122,0.697848671516856,0.10763618283528471,-0.3366533372995163,-1.2519304929011044,1.57252503979275,0.004951095646371237,-0.03512086853688148,-0.37914388368181023,0.3852153176895056,0.04533130081007649,0.20779168911406184,-0.6080117382229752,-0.12046584839769293,-0.001958656831442042,0.9463401100708044,-0.051281321597991855,0.1260723609991929,-0.18388533228676432,-0.24443057281917116,0.17820468843397674
MRL_MPJ_,-53.88451484309899,-5.19181413725378,-0.23307940883782155,-5.248142034377096,1.5292233626011875,-0.33558015033181804,-1.8768794400094144,1.8967056816596612,-0.405305205675163,-2.046512666141982,1.182133059365513,-1.966869008370432,2.463469820409203,1.6256076419801198,0.4178715926962214,-1.2886340329325532,1.5147290528326762,0.5547274749271675,0.5485801124790847,-1.1778842896190718,1.1083656040917889,-0.7629033435775471,-0.469699168923157,-1.4726035384315488,-0.5319589324782413,-1.4647250864169739,-0.43563728506849575,-0.15366588307373635,-1.6375335082715592,0.6319444584781885,-0.5989790126352873,0.1259966376950368,0.04774948461953517,0.4369047980547612,0.2878847559768599,0.4965686157219251,0.10327535625329248,0.3427437843879222,0.5265651292198301,0.26624949522208047,-0.7467208069879472,1.0756074195496963,-0.06726021807170883,-0.33419958214575457,-1.664088493470922,1.7508853812759886,0.11408343297476256,-0.1142719239318556,-0.6572946340420401,0.5088185386967128,0.09089768154553267,0.39275891093036974,-0.7260031279962017,-0.034230117257125096,0.03998433578668292,0.9349645614296495,-0.20663708187398158,0.043689282090741244,-0.17893261015776415,-0.25061229813124514,0.17820468843397116
